indexer_name,wallet_address
flynodes,0x6e54595363b20a0296b1c3b430fcb4c822d00c20
flynodes,0xe3023bf3a199fb46a99a01f8557cb94e66581698
graphboy.eth,0xf61dafa923a6cbcee6b73683c3f3ff099b713436
grumas.eth,0xd6a51a6cd8abc896f560e2bc9e1bdfc5ef4fa45b
gunu-node,0x59749d1fa9635cd0413aeff5ee295490a7e87f54
gunu-node,0x39839abed87475422c5353256d17e08395c3af6b
iukni,0x563040fa6547054620b9c02ba288b6f7267ae6ff
khunchangraph.eth,0x9a8be56015d32995e82745e14cb9d5dfb0cfac9d
lux8-net,0x4207df52f7ff229364899b21e9c4ad36d3d42981
making-cash.eth,0x55f3dcdaf0b73f7f0c761a9070d8865f37986e2c
stake2earn,0x7ddf0c8cb0167870bf7cc5368792c93aeeb15430
web3 validator,0x047739cb42c227489cccd11aa5f28aa4eb46d2cf
0x0ee-f1021,0x0ee8e5dfea4315fe69a4e0fe84f50cbfce8f1021
0x3b9-13341,0x3b9ba748691f135b71582dc3292e5e3ed7e13341
0xa01-6e569,0xa01b06b0e9feb016d5ab669ce89d059bc666e569
0x48b-45d07,0x48b5687f0595e2a4d581dc72305fbae214345d07
0x600-b82fa,0x600f2b53719e1dbacf340572b31a9df9921b82fa
0x65a-c98a3,0x65a077ebd29e5e7ed8997a4b923dc7dbdb7c98a3
0x687-29fe4,0x6879bbfcff0e54e62b899681ea52e74bd9b29fe4
0x85f-5372d,0x85fe868adf7f5950b052469075556fb207e5372d
0x9ad-954f4,0x9ada64ca2fa91318e2de0ff678a8a935859954f4
0xa8d-b7b6d,0x0280464494b1c4ffd18a89ec3b3703fbc28b7b6d
0xc98-30a02,0x1b2c8daa69f8ff780c0a154fc18629aa0c230a02
0xc98-457b6,0xc9899dfdca2b2ef3972ce25e3f1ba0b05cb457b6
0xe33-81698,0xe3023bf3a199fb46a99a01f8557cb94e66581698
0xf6a-f274a,0xf6a9bad58e74b5165dc31ef24be4377b192f274a
0xa6f-eb325,0xa6ff993e0f6253f1b7f55c873577a2f0f0ceb325
0xa4d-bf24d,0xa4d629ba2ffb3321008d8cec37cca077696bf24d
0x565-82a7c,0x56577167dcdd1a3de2e58d53fc2be0b622d82a7c
0xa18-a43e8,0xa181d0f242b3730f8a244cc94eda05faf17a43e8
0x348-4d07c,0x348f8242485456842595cdc0cab5df66e1d4d07c
0x868-29d46,0x86868bb556dedcd0768854a5af9e62f2e9129d46
0xf77-9cf72,0xf7793bf9561c32ffbac603ce572fa55643f9cf72
0x322-0b42d,0x32288863ca0831f4406a905d360ab1a9a4f0b42d
0x70e-d8088,0x70e77e6b48d8241fac901fbd60f43612f77d8088
0xcf2-7bb72,0xcf2a4421b4ae62f342aa31dd3115862ed3a7bb72
